"RC1","RC3","RC2","RC4","RC5"
"1",0.364075701181116,0.0317562339756352,0.028978547020881,0.123306598794601,0.796043670453049
"5",0.0532239410304948,0.34533789855881,-0.259225092704592,0.770258586598667,-0.0378588457655207
"9",0.740984096961909,0.305131564740483,-0.273658167275192,0.320108590659665,0.18096045749118
"10",0.466979864636067,0.349953582009931,-0.362194080116598,0.576296795011072,0.355905334545913
"12",0.898690701536426,-0.0580166806514733,0.0971861228425537,-0.165966825763749,-0.0347942974197192
"13",0.504209496460807,0.387285162889046,-0.357219368730557,0.541726099731982,0.276554565512644
"14",0.641604270025458,0.529778422178104,0.389247996219665,0.224854593632455,0.213767092284612
"17",0.899240438780115,0.0921252321513574,-0.0616660925169034,0.193067178330149,0.0521763973379833
"18",0.258497103224996,0.299228702064385,-0.399442910321737,0.635236625712497,0.118890201174384
"19",0.808270560864296,0.406123100447982,-0.0471155516063652,0.263567889143142,0.117725027248301
"21",0.506901960200734,0.425925406302861,0.0455960533785961,0.252425542520669,0.304164223364749
"22",0.357340104836995,0.706474285630361,-0.118551883710244,0.310820364608795,0.0307349226040941
"23",0.194911863999672,0.78729574054996,-0.354701199290006,0.366958558962406,0.156488772519343
"25",0.825389705161836,0.327550568125258,0.0792238608776573,-0.0469482568434284,-0.22004643023942
"27",0.112372331361668,0.152958068202384,-0.174454832819857,0.818604470009737,0.0534981095651855
"29",0.206272780874151,0.896403712896971,0.163701668205479,0.236089853710547,0.00215360926298529
"30",0.261895172913643,0.742038263446125,-0.0174987604747585,0.317909269411038,0.120205504322952
"31",0.235453509632951,0.822252704676371,-0.241498023869807,0.382445251745883,0.113313757878263
"37",0.13171977213942,0.845933606505351,-0.277326787656571,0.0215094475689038,-0.0792801323075747
"38",-0.0854158155700536,0.852865563539482,0.103602712738058,-0.0758947648222173,-0.00871883392202841
"42",-0.0775041049306388,0.566384964254426,-0.659746559057447,0.131430317676076,-0.269081090710709
"44",0.276504308509027,0.00051755897627188,0.887097055943627,-0.252912552496286,0.0905847654721423
"45",0.235902665444905,0.0310020780870786,0.879501304451,-0.325725005632666,-0.06302454168031
"52",0.89281722574835,0.208003429870274,0.299333254401802,0.041871790573855,0.190842492921528
"53",0.209273793793721,-0.0409005285186362,0.907533270353972,-0.315576001836435,-0.0195392196075761
"54",0.84210985939477,0.109312675849376,0.415617007584621,0.0636041566342379,0.222197295141733
"63",-0.286077598365431,-0.197957089050779,0.798617724794987,-0.17594085294871,-0.132983529398938
"65",-0.770164017882904,-0.0532245255476989,0.0750184753574137,0.0729291005326434,-0.354711070289229
"66",-0.307881087569685,0.156151214488565,-0.302765565619249,0.777041989392182,0.0276006017205654
"67",0.716904214682699,0.0344960607752169,-0.287445281837304,0.422098141978468,0.294590913679966
"68",0.908913085032649,0.108191503897254,0.250153349602274,-0.0798703121092768,0.0712633498295699
