"RC1","RC2","RC4","RC3","fit.communality"
"6",-0.362763495924429,0.806822481749152,0.173254795747971,-0.00212888491327313,0.81258162743182
"7",-0.231297856920299,0.690552339645383,0.382264239387191,0.0298073854755785,0.677375661348793
"14",-0.282774905831883,0.77886064303024,0.206948262061641,0.214809017508521,0.77555604580302
"15",0.131014824752002,0.298507555428524,0.865657875394613,-0.0817288809302873,0.862314812163545
"21",0.927652650183559,-0.0554663674229242,0.23478151454362,0.105199893933687,0.92980533456273
"22",0.228142445266631,0.343728061579787,0.692740656659704,-0.0724237369206885,0.655332770708511
"23",0.472778466152523,0.531252950536524,0.526658644093023,0.212841659519575,0.828420074936242
"24",0.193688380760116,0.722736492254626,0.44157090777595,0.200159175635037,0.794911788262972
"28",0.938702684016447,0.0867196990024976,0.156534192017733,0.169802753410822,0.942018963511306
"29",0.948534143587406,-0.102309472860398,0.07061708890244,0.0443615496121473,0.917138970117113
"30",0.233310355609519,0.348462440882386,-0.0683915301937926,0.849562970836576,0.902294437559267
"31",0.215406082019304,0.873705286522613,0.138023701931997,0.0669261030594367,0.833290353434203
"36",0.844306751368497,0.101276982013312,-0.0821430284351027,0.0297341253141844,0.73074251282084
"38",0.0647432103310072,0.0551944467582118,-0.0149996925901359,0.964955065483981,0.938601379417904
"44",0.937408715769185,-0.118185025765215,0.0705824359541014,0.0824322597714371,0.904479758431398
"45",0.951554539386536,-0.00362229031090669,0.240903397529948,0.0521759816503884,0.966225942416872
"53",0.515448450226736,0.678978188484199,0.00200157868996944,0.308721971673653,0.822011747389749
